State_And_County_FIPS_Code,CHSI_State_Name,CHSI_County_Name,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic,ALE,Health_Status,LBW,VLBW,Premature,Under_18,Over_40,Late_Care,Infant_Mortality,Unmarried,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Exp,Salm_Rpt,Salm_Exp,Shig_Rpt,Shig_Exp,FluB_Rpt,FluB_Exp,HepA_Rpt,HepA_Exp,HepB_Rpt,HepB_Exp,Pert_Rpt,Pert_Exp,Syphilis_Rpt,Syphilis_Exp,No_Exercise,Obesity,Smoker,Diabetes,Uninsured,HPSA_Ind
51-11,Virginia,Appomattox,13967,42,12.4,23.6,60.4,13.9,2.1,77.7,21.6,0.2,0.2,0.7,75.9,13.0,7.5,1.4,11.5,4.9,1.6,8.7,9.2,35.2,23.4,28.8,192.0,53.2,11.9,2827,313,445,802,641,2,1,27,17,5,3,1,0,3,5,1,1,0,4,4,0,-,-,-,7.7,1614,1
51-13,Virginia,Arlington,195965,7575,7.4,18.5,72.2,7.6,1.7,80.0,8.8,0.4,9.0,15.8,80.1,7.7,6.2,1.1,10.8,1.2,5.0,22.7,4.2,20.9,29.8,13.6,95.1,38.1,7.6,17860,3026,2097,11907,8650,6,12,105,70,52,23,0,6,37,12,9,6,1,23,30,6,12.2,13.6,15.4,5.2,21924,2
51-15,Virginia,Augusta,69725,72,7.7,22.6,64.1,11.8,1.5,95.1,3.9,0.2,0.3,1.6,77.4,12.7,8.1,1.4,13.0,3.4,2.3,18.0,7.0,25.5,19.6,15.9,163.0,50.1,11.4,10634,1061,1524,4056,3251,11,7,71,53,2,10,3,3,8,10,2,3,25,17,1,0,23.5,27.5,21.2,5.0,6300,2
51-17,Virginia,Bath,4937,9,8.0,19.1,61.4,17.2,2.2,91.9,7.1,0.1,0.7,0.4,77.4,-,6.3,1.8,9.5,1.8,1.6,14.2,-,19.9,-,36.9,329.7,49.8,-,960,103,185,300,223,0,2,12,6,1,2,0,0,0,2,0,1,0,2,0,0,-,-,-,-,401,1
51-19,Virginia,Bedford,65286,87,8.0,22.8,64.4,11.5,1.3,92.2,6.4,0.2,0.6,0.8,77.5,16.6,7.6,1.3,11.3,3.0,2.2,6.3,4.4,20.2,27.5,22.5,124.9,52.5,14.4,9081,1064,1170,3787,3019,1,9,53,46,34,12,4,3,5,6,1,3,5,15,0,0,22.0,27.6,24.3,9.8,5229,2
51-21,Virginia,Bland,6943,19,12.3,18.5,66.1,13.7,1.6,95.5,4.2,0.0,0.1,0.5,74.7,-,7.7,1.6,11.9,5.1,2.5,15.8,5.5,16.1,26.9,26.0,240.6,43.9,26.0,1494,126,234,424,325,5,1,11,10,0,4,0,0,2,3,2,1,0,2,0,1,-,-,-,-,480,1
51-23,Virginia,Botetourt,32027,59,6.3,22.2,64.1,12.3,1.4,94.3,4.3,0.2,0.7,0.9,77.8,18.3,6.4,1.2,9.2,2.3,2.3,3.3,10.0,18.0,19.5,16.6,161.0,43.7,15.6,4224,483,545,1874,1467,1,3,18,18,12,3,2,2,1,3,3,2,0,2,0,0,28.5,27.1,15.1,7.7,2003,2
51-25,Virginia,Brunswick,17920,32,17.8,20.8,64.5,12.9,1.8,43.3,56.3,0.0,0.2,1.5,73.7,21.7,12.7,2.6,19.4,6.6,0.9,28.4,12.9,58.1,39.7,26.0,249.1,63.6,11.5,4614,372,540,1066,883,0,2,14,21,10,9,0,0,3,4,2,4,0,2,4,2,-,-,19.6,19.1,2256,1
51-27,Virginia,Buchanan,24755,49,21.6,20.7,66.1,12.1,1.1,96.5,3.0,0.0,0.3,0.6,72.8,-,8.3,1.6,12.6,5.0,1.0,14.8,7.2,29.0,35.2,26.4,271.9,72.8,25.4,8382,486,2623,1473,1147,0,0,8,25,0,12,1,0,0,3,12,3,0,1,0,4,-,32.8,22.2,8.2,4059,1
51-29,Virginia,Buckingham,16058,28,17.2,21.3,65.5,11.5,1.7,61.4,37.6,0.2,0.2,1.0,75.3,14.0,10.1,2.0,14.7,4.8,1.9,19.0,8.3,43.1,29.5,15.8,183.4,58.6,10.9,4207,311,553,950,778,0,2,26,18,5,8,1,0,1,3,2,3,3,2,0,2,23.8,-,-,12.8,1684,2
51-31,Virginia,Campbell,52339,104,11.6,24.0,61.8,12.6,1.6,82.6,15.5,0.2,0.8,1.1,76.7,15.1,7.5,1.6,11.5,3.8,2.1,5.7,7.1,32.9,25.6,23.4,140.3,64.6,9.2,9636,1019,1098,2990,2383,1,5,48,33,11,8,3,3,3,5,3,5,2,8,0,3,27.1,30.8,25.0,9.2,5623,2
51-33,Virginia,Caroline,25563,48,10.0,24.5,63.4,10.7,1.4,67.3,30.3,0.7,0.6,2.7,74.6,12.0,8.7,2.0,12.8,4.0,1.6,13.4,10.4,39.8,32.5,25.3,197.1,68.4,13.8,4942,460,620,1451,1207,1,2,37,31,16,13,0,0,6,9,1,4,1,7,2,2,-,-,-,2.3,2530,1
51-35,Virginia,Carroll,29438,62,13.9,20.9,61.4,15.4,2.3,99.0,0.6,0.1,0.1,2.0,77.3,26.0,7.1,1.1,9.7,3.4,1.6,15.4,6.3,26.6,19.3,16.1,166.6,48.8,11.5,7638,787,1021,1745,1319,0,3,12,18,4,3,0,0,0,3,0,3,1,4,0,1,-,-,-,10.6,4035,2
51-36,Virginia,Charles City,7119,39,10.4,20.2,65.0,13.6,1.1,45.7,47.2,6.8,0.2,0.8,76.9,-,10.5,1.6,15.5,4.4,2.2,16.9,10.1,46.4,37.2,17.9,217.6,70.6,-,1768,164,185,425,326,0,1,6,10,3,4,1,0,0,3,1,1,0,2,0,1,-,-,-,-,829,1
51-37,Virginia,Charlotte,12404,26,16.0,24.0,58.3,15.3,2.4,68.0,31.6,0.0,0.2,2.0,74.8,18.0,9.2,2.0,13.1,4.5,2.0,20.8,4.6,39.5,32.4,28.2,202.2,77.9,10.5,3153,439,352,709,569,0,1,30,16,9,4,0,0,0,10,2,4,1,1,0,4,-,-,17.7,9.2,1838,2
51-41,Virginia,Chesterfield,288876,679,6.7,27.3,65.2,6.9,0.7,74.8,20.8,0.4,2.9,4.5,77.5,10.1,7.8,1.3,12.8,2.0,2.6,8.7,6.0,25.1,32.7,20.2,141.9,59.4,11.3,21952,4693,3812,15867,14027,11,8,200,98,114,49,5,8,11,16,27,16,14,24,5,8,19.3,24.8,18.1,5.5,25568,2
